date,lga_name,average_historical_occupancy,average_daily_rate
2023-03-20,Whitsunday,0.5497,352.8586
2023-03-21,Noosa,0.4933,330.1416
2023-03-21,Cairns,0.525,219.1071
2023-03-21,Gold Coast,0.5373,273.1561
2023-03-21,Whitsunday,0.5365,345.6547
2023-03-22,Whitsunday,0.5482,345.8001
2023-03-22,Noosa,0.4846,326.1612
2023-03-22,Cairns,0.5208,220.0041
2023-03-22,Gold Coast,0.551,270.4676
2023-03-23,Cairns,0.5342,218.7209
2023-03-23,Gold Coast,0.5813,274.8681
2023-03-23,Whitsunday,0.5877,357.4554
2023-03-23,Noosa,0.5328,328.9492
2023-03-24,Cairns,0.5574,225.6015
2023-03-24,Whitsunday,0.6662,353.5737
2023-03-24,Noosa,0.662,341.2742
2023-03-24,Gold Coast,0.6559,316.1241
2023-03-25,Gold Coast,0.6765,315.9299
2023-03-25,Noosa,0.6779,339.8494
2023-03-25,Whitsunday,0.6926,357.7458
2023-03-25,Cairns,0.5671,225.5487
2023-03-26,Cairns,0.5425,220.9982
2023-03-26,Noosa,0.5609,323.3064
2023-03-26,Gold Coast,0.5555,274.1603
2023-03-26,Whitsunday,0.5984,354.979
2023-03-27,Gold Coast,0.5062,271.1078
2023-03-27,Cairns,0.5239,217.2848
2023-03-27,Noosa,0.4872,326.2654
2023-03-27,Whitsunday,0.5486,347.5233
2023-03-28,Noosa,0.4605,321.5392
2023-03-28,Gold Coast,0.5013,266.5746
2023-03-28,Cairns,0.5122,216.1558
2023-03-28,Whitsunday,0.5249,340.1573
2023-03-29,Noosa,0.463,326.726
2023-03-29,Whitsunday,0.5432,345.6068
2023-03-29,Gold Coast,0.5056,265.5423
2023-03-29,Cairns,0.5133,215.139
2023-03-30,Cairns,0.5198,216.3151
2023-03-30,Gold Coast,0.5273,273.1056
2023-03-30,Whitsunday,0.5791,342.321
2023-03-30,Noosa,0.4791,328.2969
2023-03-31,Gold Coast,0.57,313.6824
2023-03-31,Whitsunday,0.6055,346.1062
2023-03-31,Noosa,0.539,346.9489
2023-03-31,Cairns,0.5448,225.4406
2023-04-01,Noosa,0.5821,360.6723
2023-04-01,Whitsunday,0.6483,351.6523
2023-04-01,Cairns,0.5636,240.6684
2023-04-01,Gold Coast,0.6077,323.3116
2023-04-02,Gold Coast,0.5478,302.592
2023-04-02,Noosa,0.5277,365.2676
2023-04-02,Whitsunday,0.5988,355.7242
2023-04-02,Cairns,0.5727,243.6298
2023-04-03,Whitsunday,0.5766,355.3073
2023-04-03,Gold Coast,0.5159,292.7395
2023-04-03,Cairns,0.578,238.2756
2023-04-03,Noosa,0.5149,359.595
2023-04-04,Noosa,0.5148,361.185
2023-04-04,Cairns,0.5817,241.4394
2023-04-04,Whitsunday,0.5787,352.765
2023-04-04,Gold Coast,0.5163,292.9554
2023-04-05,Noosa,0.5518,370.3958
2023-04-05,Whitsunday,0.6111,368.7176
2023-04-05,Gold Coast,0.5378,296.6776
2023-04-05,Cairns,0.5978,246.5749
2023-04-06,Noosa,0.6437,384.7057
2023-04-06,Gold Coast,0.624,314.6396
2023-04-06,Cairns,0.6512,258.5598
2023-04-06,Whitsunday,0.6928,365.8253
2023-04-07,Cairns,0.7196,267.5967
2023-04-07,Whitsunday,0.7977,385.6142
2023-04-07,Noosa,0.784,400.1916
2023-04-07,Gold Coast,0.7533,370.8843
2023-04-08,Whitsunday,0.8268,386.0558
2023-04-08,Noosa,0.8156,399.9375
2023-04-08,Gold Coast,0.8031,378.3618
2023-04-08,Cairns,0.7603,273.2531
2023-04-09,Cairns,0.7501,278.2255
2023-04-09,Gold Coast,0.7735,361.7203
2023-04-09,Whitsunday,0.7828,376.6183
2023-04-09,Noosa,0.7925,399.393
2023-04-10,Whitsunday,0.7382,379.5842
2023-04-10,Cairns,0.6874,272.7108
2023-04-10,Gold Coast,0.6779,344.6459
2023-04-10,Noosa,0.6945,395.2045
2023-04-11,Whitsunday,0.7028,377.1261
2023-04-11,Cairns,0.6783,264.4554
2023-04-11,Noosa,0.662,378.8293
2023-04-11,Gold Coast,0.677,333.9103
2023-04-12,Noosa,0.6634,379.7342
2023-04-12,Gold Coast,0.6897,328.0056
2023-04-12,Cairns,0.6681,258.6156
2023-04-12,Whitsunday,0.717,362.0416
2023-04-13,Whitsunday,0.7053,354.0047
2023-04-13,Cairns,0.6811,256.3159
2023-04-13,Gold Coast,0.7038,322.6637
2023-04-13,Noosa,0.6751,370.943
2023-04-14,Noosa,0.6806,376.3303
2023-04-14,Gold Coast,0.7238,350.3101
2023-04-14,Cairns,0.6611,256.2014
2023-04-14,Whitsunday,0.7436,364.5771
2023-04-15,Cairns,0.642,253.0031
2023-04-15,Whitsunday,0.7205,368.6639
2023-04-15,Gold Coast,0.6978,350.3309
2023-04-15,Noosa,0.6452,371.8382
2023-04-16,Gold Coast,0.6069,318.0433
2023-04-16,Noosa,0.5481,372.4083
2023-04-16,Whitsunday,0.6414,364.9989
2023-04-16,Cairns,0.6198,250.1072
2023-04-17,Whitsunday,0.5969,365.3347
2023-04-17,Cairns,0.6145,247.614
2023-04-17,Noosa,0.5259,365.7802
2023-04-17,Gold Coast,0.5826,311.544
2023-04-18,Cairns,0.5974,242.9589
2023-04-18,Noosa,0.5332,355.8938
2023-04-18,Whitsunday,0.5809,372.4347
2023-04-18,Gold Coast,0.5824,306.691
2023-04-19,Whitsunday,0.5691,367.283
2023-04-19,Noosa,0.5076,358.6921
2023-04-19,Cairns,0.5985,241.5834
2023-04-19,Gold Coast,0.5822,305.6596
2023-04-20,Noosa,0.5388,356.5515
2023-04-20,Cairns,0.6116,245.3882
2023-04-20,Gold Coast,0.6048,304.2869
2023-04-20,Whitsunday,0.5854,358.7598
2023-04-21,Whitsunday,0.6403,361.5615
2023-04-21,Noosa,0.6105,364.5039
2023-04-21,Gold Coast,0.6418,331.5048
2023-04-21,Cairns,0.628,246.8545
2023-04-22,Gold Coast,0.6875,334.2361
2023-04-22,Noosa,0.6411,356.5298
2023-04-22,Cairns,0.6314,245.6351
2023-04-22,Whitsunday,0.6697,354.065
2023-04-23,Whitsunday,0.6103,354.2158
2023-04-23,Cairns,0.5898,244.6654
2023-04-23,Noosa,0.5881,349.0547
2023-04-23,Gold Coast,0.6174,295.9668
2023-04-24,Cairns,0.5801,242.0998
2023-04-24,Whitsunday,0.5855,360.0138
2023-04-24,Noosa,0.5591,341.7488
2023-04-24,Gold Coast,0.5744,285.6008
2023-04-25,Noosa,0.4903,342.474
2023-04-25,Cairns,0.5699,236.9034
2023-04-25,Whitsunday,0.5612,361.9071
2023-04-25,Gold Coast,0.529,281.313
2023-04-26,Noosa,0.4658,339.6059
2023-04-26,Whitsunday,0.5358,359.1748
2023-04-26,Gold Coast,0.4976,277.5496
2023-04-26,Cairns,0.5498,235.612
2023-04-27,Whitsunday,0.5839,358.847
2023-04-27,Cairns,0.5748,238.877
2023-04-27,Gold Coast,0.5114,276.3644
2023-04-27,Noosa,0.4919,341.9563
2023-04-28,Noosa,0.5961,350.798
2023-04-28,Gold Coast,0.5891,316.8185
2023-04-28,Cairns,0.5967,244.0014
2023-04-28,Whitsunday,0.6859,364.0907
2023-04-29,Whitsunday,0.7169,366.5459
2023-04-29,Noosa,0.6731,348.606
2023-04-29,Gold Coast,0.6707,323.2259
2023-04-29,Cairns,0.616,241.6631
2023-04-30,Noosa,0.6275,335.3564
2023-04-30,Gold Coast,0.6279,280.9285
2023-04-30,Whitsunday,0.6528,366.5957
2023-04-30,Cairns,0.5868,240.2765
2023-05-01,Cairns,0.5686,238.5788
2023-05-01,Gold Coast,0.5253,277.0874
2023-05-01,Noosa,0.4968,328.3256
2023-05-01,Whitsunday,0.574,367.1485
2023-05-02,Cairns,0.5422,232.8755
2023-05-02,Gold Coast,0.5043,269.2818
2023-05-02,Noosa,0.4444,324.2417
2023-05-02,Whitsunday,0.5383,361.2528
2023-05-03,Whitsunday,0.5305,362.0364
2023-05-03,Noosa,0.458,328.3793
2023-05-03,Gold Coast,0.5144,270.1425
2023-05-03,Cairns,0.545,231.1799
2023-05-04,Noosa,0.4945,328.8262
2023-05-04,Gold Coast,0.5594,268.8277
2023-05-04,Whitsunday,0.5882,366.8407
2023-05-04,Cairns,0.5507,236.8259
2023-05-05,Cairns,0.5767,237.4605
2023-05-05,Whitsunday,0.6371,360.9526
2023-05-05,Gold Coast,0.6036,305.5349
2023-05-05,Noosa,0.5579,336.3933
2023-05-06,Noosa,0.5995,336.417
2023-05-06,Gold Coast,0.6354,309.2527
2023-05-06,Cairns,0.6019,242.3177
2023-05-06,Whitsunday,0.654,363.1642
2023-05-07,Whitsunday,0.6058,358.0829
2023-05-07,Noosa,0.4995,326.8357
2023-05-07,Cairns,0.5771,235.3521
2023-05-07,Gold Coast,0.5529,267.3588
2023-05-08,Gold Coast,0.5133,263.0519
2023-05-08,Noosa,0.4538,322.4352
2023-05-08,Cairns,0.5641,229.5264
2023-05-08,Whitsunday,0.562,354.2796
2023-05-09,Cairns,0.5563,228.1097
2023-05-09,Whitsunday,0.5555,356.4498
2023-05-09,Noosa,0.444,322.3218
2023-05-09,Gold Coast,0.5132,263.3405
2023-05-10,Cairns,0.5521,226.7616
2023-05-10,Whitsunday,0.5734,349.1552
2023-05-10,Noosa,0.4398,316.7547
2023-05-10,Gold Coast,0.5162,259.2868
2023-05-11,Cairns,0.5652,233.4245
2023-05-11,Noosa,0.4533,321.9348
2023-05-11,Gold Coast,0.5416,262.6548
2023-05-11,Whitsunday,0.596,357.8714
2023-05-12,Noosa,0.5327,339.7663
2023-05-12,Cairns,0.622,240.6892
2023-05-12,Whitsunday,0.6589,353.2759
