spend,cards_seen,no_txns,date,region,category
3491297,33148,75827,12/06/2023,Whitsundays,FOOD & GROCERY
143175.64,1221,1701,12/06/2023,Whitsundays,ENTERTAINMENT
762864.4,4498,6819,12/06/2023,Whitsundays,HOME IMPROVEMENT & SUPPLY
1297352.9,20350,50148,12/06/2023,Whitsundays,RESTAURANTS
180800.78,3726,6110,12/06/2023,Whitsundays,TRANSPORTATION
645675.6,8557,21065,12/06/2023,Whitsundays,BARS/TAVERNS/LOUNGES/DISCOS
282303.9,1668,2980,3/07/2023,Whitsundays,ENTERTAINMENT
727424.1,6761,9419,3/07/2023,Whitsundays,RETAIL GOODS
263633.16,2162,2400,3/07/2023,Whitsundays,EDUCATION & GOVERNMENT
716059.5,9925,16507,3/07/2023,Whitsundays,PKG STORES/BEER/WINE/LIQUOR
128899.14,725,710,3/07/2023,Whitsundays,TRAILER PARKS AND CAMPGROUNDS
666242.7,9425,11339,3/07/2023,Whitsundays,HEALTH CARE & DRUG STORE
656042.06,8966,21753,3/07/2023,Whitsundays,BARS/TAVERNS/LOUNGES/DISCOS
43168.625,760,1271,3/07/2023,Whitsundays,PROFESSIONAL SERVICES
512699.78,9260,12781,3/07/2023,Whitsundays,DISCOUNT & VARIETY STORES
187365.16,791,934,3/07/2023,Whitsundays,TRAVEL AGENCIES
691699.2,17099,28826,3/07/2023,Whitsundays,FAST FOOD RESTAURANTS
172171.81,6140,6887,3/07/2023,Whitsundays,TRANSPORTATION
738450,4698,8022,3/07/2023,Whitsundays,HOME IMPROVEMENT & SUPPLY
40494.566,373,440,3/07/2023,Whitsundays,TELECOM
3299829,38034,90419,3/07/2023,Whitsundays,FOOD & GROCERY
2155439,10460,32830,3/07/2023,Whitsundays,HOTELS/MOTELS & RESORTS
1926656.6,27238,67876,3/07/2023,Whitsundays,RESTAURANTS
261222.84,2559,2792,3/07/2023,Whitsundays,RETAIL SERVICES
320076.3,3802,6000,3/07/2023,Whitsundays,TOURIST ATTRACTIONS
614564.3,5503,7247,3/07/2023,Whitsundays,AUTOMOTIVE
95147.414,299,280,3/07/2023,Whitsundays,VEHICLE RENTAL
895123.56,7103,11426,3/07/2023,Whitsundays,RETAIL STORES
76484.445,1482,2358,3/07/2023,Whitsundays,BUSINESS TO BUSINESS
1744013.4,17666,26464,3/07/2023,Whitsundays,FUEL
131639.22,2069,2664,27/11/2023,Whitsundays,TOURIST ATTRACTIONS
656780.4,11122,17638,27/11/2023,Whitsundays,RESTAURANTS
11399.469,54,59,27/11/2023,Whitsundays,AIRLINES/AIR CARRIERS
307730.56,4842,7049,27/11/2023,Whitsundays,PKG STORES/BEER/WINE/LIQUOR
56092.42,924,1285,27/11/2023,Whitsundays,BUSINESS TO BUSINESS
504025.28,5688,5233,27/11/2023,Whitsundays,HEALTH CARE & DRUG STORE
50456.63,254,263,27/11/2023,Whitsundays,TELECOM
222694.39,2227,3454,27/11/2023,Whitsundays,AUTOMOTIVE
260341.88,9462,12309,27/11/2023,Whitsundays,FAST FOOD RESTAURANTS
71479.445,2223,2907,27/11/2023,Whitsundays,TRANSPORTATION
11464.456,78,96,27/11/2023,Whitsundays,TRAILER PARKS AND CAMPGROUNDS
111361.46,778,708,27/11/2023,Whitsundays,ENTERTAINMENT
828166.7,6007,17622,27/11/2023,Whitsundays,HOTELS/MOTELS & RESORTS
269847.75,3922,4641,27/11/2023,Whitsundays,RETAIL GOODS
1819459.5,23737,45491,27/11/2023,Whitsundays,FOOD & GROCERY
185510.45,1537,1439,27/11/2023,Whitsundays,EDUCATION & GOVERNMENT
21054.465,531,647,27/11/2023,Whitsundays,PROFESSIONAL SERVICES
317857.84,5102,9116,27/11/2023,Whitsundays,BARS/TAVERNS/LOUNGES/DISCOS
289129.75,4399,5532,27/11/2023,Whitsundays,DISCOUNT & VARIETY STORES
102503.29,358,273,27/11/2023,Whitsundays,TRAVEL AGENCIES
379999.34,3279,5130,27/11/2023,Whitsundays,RETAIL STORES
90406.94,1246,1182,27/11/2023,Whitsundays,RETAIL SERVICES
410671.16,3121,4305,27/11/2023,Whitsundays,HOME IMPROVEMENT & SUPPLY
811106.7,12366,14447,27/11/2023,Whitsundays,FUEL
76208.28,1095,1174,27/03/2023,Whitsundays,TOURIST ATTRACTIONS
77548.16,1878,2616,27/03/2023,Whitsundays,AUTOMOTIVE
