date,lga_name,average_historical_occupancy,average_daily_rate,date,lga_name,average_length_of_stay,average_booking_window,,
2023-02-17,Whitsunday,0.6237,339.4883,2023-02-17,Whitsunday,2.773,44.8297,,1
2023-02-18,Cairns,0.5301,215.1619,2023-02-18,Cairns,3.1772,35.1545,,1
2023-02-18,Gold Coast,0.7112,315.3925,2023-02-18,Gold Coast,4.306,41.8041,,1
2023-02-18,Noosa,0.6705,339.0934,2023-02-18,Noosa,4.8814,51.8493,,1
2023-02-18,Whitsunday,0.638,339.5734,2023-02-18,Whitsunday,8.3405,46.5652,,1
2023-02-19,Cairns,0.528,213.1799,2023-02-19,Cairns,5.8333,39.9829,,1
2023-02-19,Gold Coast,0.613,279.1495,2023-02-19,Gold Coast,5.8566,39.438,,1
2023-02-19,Noosa,0.5791,330.8116,2023-02-19,Noosa,5.0885,46.2435,,1
2023-02-19,Whitsunday,0.5424,338.2257,2023-02-19,Whitsunday,3.1702,39.5851,,1
2023-02-20,Cairns,0.498,210.9428,2023-02-20,Cairns,4.175,26.2,,1
2023-02-20,Gold Coast,0.5897,276.7647,2023-02-20,Gold Coast,4.4939,39.1666,,1
2023-02-20,Noosa,0.5462,328.3199,2023-02-20,Noosa,4.8543,38.7216,,1
2023-02-20,Whitsunday,0.5096,336.6586,2023-02-20,Whitsunday,3.4757,41.699,,1
2023-02-21,Cairns,0.5017,211.4157,2023-02-21,Cairns,3.463,24.5221,,1
2023-02-21,Gold Coast,0.5872,275.9518,2023-02-21,Gold Coast,3.6063,30.8177,,1
2023-02-21,Noosa,0.5449,326.5671,2023-02-21,Noosa,4.0794,29.7029,,1
2023-02-21,Whitsunday,0.5205,334.5066,2023-02-21,Whitsunday,4.0392,38.3627,,1
2023-02-22,Cairns,0.4917,208.3365,2023-02-22,Cairns,5.5026,35.1904,,1
2023-02-22,Gold Coast,0.5852,276.6731,2023-02-22,Gold Coast,4.1521,30.5066,,1
2023-02-22,Noosa,0.5312,327.1185,2023-02-22,Noosa,3.4046,35.9116,,1
2023-02-22,Whitsunday,0.529,334.7671,2023-02-22,Whitsunday,3.4107,53.6875,,1
2023-02-23,Cairns,0.5334,217.5001,2023-02-23,Cairns,3.1901,25.4144,,1
2023-02-23,Gold Coast,0.6267,283.3434,2023-02-23,Gold Coast,3.5724,35.2221,,1
