date,lga_name,average_length_of_stay,average_booking_window
2023-04-21,Gold Coast,4.3193,42.8255
2023-04-22,Gold Coast,4.2271,36.076
2023-04-22,Noosa,4.3358,48.7925
2023-04-22,Cairns,3.4848,37.1439
2023-04-22,Whitsunday,5.1812,60.7
2023-04-23,Whitsunday,4.0695,54.2869
2023-04-23,Cairns,4.3288,43.4459
2023-04-23,Noosa,6.964,43.2122
2023-04-23,Gold Coast,5.4831,36.577
2023-04-24,Cairns,4.4612,47.1836
2023-04-24,Whitsunday,4.7656,57.75
2023-04-24,Noosa,5.5088,51.8647
2023-04-24,Gold Coast,5.5982,38.8597
2023-04-25,Noosa,5.4234,41.1672
2023-04-25,Cairns,3.8104,34.2338
2023-04-25,Whitsunday,4.3615,58.1384
2023-04-25,Gold Coast,4.6549,31.8854
2023-04-26,Noosa,6.6033,48.4586
2023-04-26,Whitsunday,4.4299,61.8691
2023-04-26,Gold Coast,4.7291,35.9546
2023-04-26,Cairns,4.7914,43.3489
2023-04-27,Whitsunday,4.197,60.6204
2023-04-27,Cairns,4.3122,45.3517
2023-04-27,Gold Coast,4.1144,45.9481
2023-04-27,Noosa,5.2846,50.9217
2023-04-28,Noosa,3.6373,57.2012
2023-04-28,Whitsunday,3.0046,66.9537
2023-04-28,Cairns,3.9525,39.3084
2023-04-28,Gold Coast,3.8148,43.4582
2023-04-29,Whitsunday,4.0694,65.5486
2023-04-29,Noosa,3.4097,47.286
2023-04-29,Gold Coast,4.2317,35.7689
2023-04-29,Cairns,3.6123,35.4818
2023-04-30,Noosa,4.9077,39.6678
2023-04-30,Gold Coast,4.8376,39.7826
2023-04-30,Whitsunday,7.5882,63.9411
2023-04-30,Cairns,6.3308,36.1764
2023-05-01,Cairns,10.1212,57.406
2023-05-01,Gold Coast,10.7848,53.4909
2023-05-01,Noosa,12.9302,69.8811
2023-05-01,Whitsunday,8.0058,53.9176
2023-05-02,Cairns,4.1244,37.4888
2023-05-02,Gold Coast,5.9472,37.9309
2023-05-02,Noosa,6.7116,50.3906
2023-05-02,Whitsunday,4.9375,57.7395
2023-05-03,Whitsunday,3.3877,56.5612
2023-05-03,Noosa,4.4628,44.6026
2023-05-03,Gold Coast,4.1218,37.0747
2023-05-03,Cairns,4.163,43.339
2023-05-04,Noosa,4.75,62.3697
2023-05-04,Gold Coast,3.5842,37.789
2023-05-04,Whitsunday,4.3604,62.936
2023-05-04,Cairns,3.9122,48.4473
2023-05-05,Cairns,3.9176,42.0187
2023-05-05,Whitsunday,5.0503,50.2578
2023-05-05,Gold Coast,4.0532,40.7277
2023-05-05,Noosa,3.8223,49.3401
2023-05-06,Noosa,3.9319,26.065
2023-05-06,Gold Coast,4.6215,35.9224
2023-05-06,Cairns,4.0154,39.1119
2023-05-06,Whitsunday,3.24,52.776
2023-05-07,Whitsunday,3.0447,43.0074
2023-05-07,Noosa,4.2645,36.8754
2023-05-07,Cairns,4.7634,44.6431
2023-05-07,Gold Coast,4.1178,39.9889
2023-05-08,Gold Coast,5.6228,39.7577
2023-05-08,Noosa,4.6291,41.1458
2023-05-08,Cairns,5.0634,40.0753
2023-05-08,Whitsunday,5.0729,47.5401
2023-05-09,Cairns,4.8073,38.6009
2023-05-09,Whitsunday,5.7142,53.4
2023-05-09,Noosa,3.6467,38.7114
2023-05-09,Gold Coast,4.5918,38.042
2023-05-10,Cairns,4.3125,46.6458
2023-05-10,Whitsunday,3.5486,43.6725
2023-05-10,Noosa,5.854,39.6324
2023-05-10,Gold Coast,6.5493,41.7324
2023-05-11,Gold Coast,4.2571,40.737
2023-05-11,Noosa,3.7802,50.2152
2023-05-11,Cairns,4.4517,45.1184
2023-05-11,Whitsunday,3.9142,57.7857
2023-05-12,Noosa,3.2326,41.5099
2023-05-12,Cairns,3.2372,45.8918
2023-05-12,Whitsunday,2.8294,52.1235
2023-05-12,Gold Coast,3.549,36.0642
2023-05-13,Noosa,3.7653,32.9846
2023-05-13,Cairns,4.5,46.3666
2023-05-13,Whitsunday,6.6774,54.5483
2023-05-13,Gold Coast,4.1042,37.5791
2023-05-14,Whitsunday,4.8888,41.4365
2023-05-14,Noosa,4.3203,25.8155
2023-05-14,Cairns,4.5967,39.3427
2023-05-14,Gold Coast,5.7764,42.9619
2023-05-15,Cairns,4.8888,58.7078
2023-05-15,Noosa,4.3722,30.567
2023-05-15,Gold Coast,6.2487,40.0716
2023-05-15,Whitsunday,4.3983,45.8983
2023-05-16,Gold Coast,4.8925,38.3691
2023-05-16,Cairns,4.8039,46.9098
2023-05-16,Whitsunday,5.3125,46.6375
2023-05-16,Noosa,3.4526,32.8473
2023-05-17,Whitsunday,3.0857,64.019
2023-05-17,Noosa,4.5828,36.5828
2023-05-17,Gold Coast,4.665,47.0333
2023-05-17,Cairns,3.9493,51.7468
2023-05-18,Cairns,3.8069,50.5868
2023-05-18,Noosa,3.5494,42.1245
2023-05-18,Whitsunday,3.3532,53.4251
2023-05-18,Gold Coast,4.1399,49.5694
2023-05-19,Cairns,3.4833,51.9409
2023-05-19,Noosa,4.0737,42.5318
2023-05-19,Gold Coast,3.0802,43.3245
2023-05-19,Whitsunday,3.801,54.7653
2023-05-20,Gold Coast,3.2481,35.7176
2023-05-20,Noosa,4.3076,35.9595
2023-05-20,Whitsunday,4.5739,57.2347
2023-05-20,Cairns,4.7561,58.3109
2023-05-21,Whitsunday,5.4123,63.567
2023-05-21,Cairns,4.6384,45.0153
2023-05-21,Gold Coast,5.6907,37.5904
2023-05-21,Noosa,4.8122,32.3448
2023-05-22,Gold Coast,5.3522,39.1808
2023-05-22,Noosa,3.8851,32.2468
2023-05-22,Cairns,4.3333,48.0259
2023-05-22,Whitsunday,4.9794,51.6369
2023-05-23,Gold Coast,4.9652,35.0269
2023-05-23,Noosa,3.2718,25.432
2023-05-23,Cairns,4.1692,61.6377
2023-05-23,Whitsunday,3.2201,39.2293
2023-05-24,Whitsunday,4.17,54.2
2023-05-24,Noosa,4.7658,35.8
2023-05-24,Gold Coast,4.7227,36.4244
2023-05-24,Cairns,3.4945,46.5559
2023-05-25,Noosa,3.6363,56.8768
2023-05-25,Whitsunday,3.1904,58.4693
2023-05-25,Gold Coast,3.669,35.7942
2023-05-25,Cairns,4.0912,47.7035
2023-05-26,Noosa,3.1119,83.0243
2023-05-26,Cairns,3.5876,41.88
2023-05-26,Gold Coast,2.7629,40.0653
2023-05-26,Whitsunday,3.2738,54.0833
2023-05-27,Noosa,4.6937,38.4928
2023-05-27,Gold Coast,3.0738,33.1476
2023-05-27,Cairns,5.1091,45.1971
2023-05-27,Whitsunday,3.5583,33.7333
2023-05-28,Noosa,5.7208,43.05
2023-05-28,Gold Coast,4.7985,39.4137
2023-05-28,Cairns,4.3,57.6133
2023-05-28,Whitsunday,3.9242,47.0378
2023-05-29,Gold Coast,4.5045,37.4283
2023-05-29,Noosa,4.8433,31.6912
2023-05-29,Cairns,3.9073,42.5637
2023-05-29,Whitsunday,3.7264,46.4444
2023-05-30,Whitsunday,3.4489,52.2346
2023-05-30,Cairns,4.3256,41.7247
2023-05-30,Noosa,5.1831,35.292
2023-05-30,Gold Coast,4.6031,32.7671
2023-05-31,Cairns,4.8853,61.3478
2023-05-31,Gold Coast,5.0419,32.3433
2023-05-31,Whitsunday,3.8602,67.0107
2023-05-31,Noosa,3.8703,57.9027
2023-06-01,Noosa,11.482,71.5838
2023-06-01,Gold Coast,9.7593,52.1626
2023-06-01,Cairns,7.9182,78.066
2023-06-01,Whitsunday,6.8689,54.9862
2023-06-02,Whitsunday,3.6092,46.8874
2023-06-02,Cairns,6.1754,60.7894
2023-06-02,Gold Coast,3.6872,34.8472
2023-06-02,Noosa,3.6303,42.5873
